company_id,company_name,t,deal_id,deal_date,raw_stage,obs_token,deal_size_usd_mn,log_raise,company_revenue_curr_mn,delta_days,is_last_event
636054,Thrixen Pte. Ltd.,1,V378982,2024-04-29,Unspecified Round,UNSPEC,7.0,2.0794415416798357,,588.0,1
636201,MedIQ Smart Healthcare,1,V379549,2022-04-21,Unspecified Round,UNSPEC,1.8,1.0296194171811583,,,0
636201,MedIQ Smart Healthcare,2,V379070,2023-08-23,Seed,Seed,,,,838.0,1
636258,Trovo Health Inc.,1,V379115,2024-04-30,Seed,Seed,15.0,2.772588722239781,,587.0,1
636263,neuroClues,1,V379118,2024-03-07,Unspecified Round,UNSPEC,1.84,1.0438040521731147,,641.0,1
636294,Bramble Health,1,V379131,2024-04-17,Add-on,ADDON,,,,600.0,1
636307,Vivalyx GmbH,1,V379144,2024-03-26,Seed,Seed,5.84,1.922787731634459,,622.0,1
636312,"Integrity Orthopaedics, Inc.",1,V379146,2023-12-15,Series B,Series B,20.56,3.0708397460407966,,724.0,1
636374,Infinitopes Limited,1,V407697,2022-12-09,Seed,Seed,11.37,2.5152741864043966,,,0
636374,Infinitopes Limited,2,V379179,2023-11-30,Seed,Seed,5.0,1.791759469228055,,,0
636374,Infinitopes Limited,3,V379988,2024-04-30,Grant,GRANT,,,,587.0,1
636423,Kinto,1,V379201,2024-04-15,Add-on,ADDON,,,,602.0,1
636424,"Remepy, Inc.",1,V379206,2022-06-01,Unspecified Round,UNSPEC,,,,,0
636424,"Remepy, Inc.",2,V379220,2024-05-01,Seed,Seed,10.77,2.4655539212721855,,586.0,1
636428,PlaqueTec Limited,1,V379209,2024-04-30,Unspecified Round,UNSPEC,7.98,2.194999882314108,,587.0,1
